geo,href,listing
florence_/_muscle_shoals,https://huntsville.craigslist.org/cto/d/1973-bmw-bavaria-30s/6472905992.html,"Having to get rid of my 1973 Bavaria\nUnlike many of the other older BMW models, the Bavaria is something you may never have the opportunity to see again.\nThere were approximately 8000, in the year and few have left to survive such a long life.\nBeing an earlier iteration of the car, BMW resolved many of the prior issues with the cars design, but it maintains the more pleasant European style bumpers.\n\nWhat makes this car particularly special is its limited color combination.\nExterior is Polaris Silver with Cardinal Red leather interior.\nAfter scouring the internet, there are very few Polaris silver cars, and with the red leather it makes the car one of a kind.\n\nThe car is in decent condition, minimal surface rust throughout the car.\nExterior 7/10\nInterior 6/10\nAll the electronics work, wipers, signals, and both headlight functions\nThe interior is worn, primarily the front seats.\nIt has a four speed manual which shifts well and the clutch holds up fine.\n\nOnly major issue is the head is cracked, which is very common for these cars.\nIt would not take much to rebuild a more modern M30 cylinder head to resolve this and any future concerns.\nI have extra fenders, and another set of front seats in blue leather.\nPretty firm on the price, though I am moderately interested in trades for running and reliable cars.\nText for pictures and any other questions."
florence_/_muscle_shoals,https://huntsville.craigslist.org/cto/d/bmw-325i-e30-parts/6439857050.html,"E30 parts for sale. Make an offer.\n\nIncluded:\n\n3 engine blocks\n2 ""I"" blocks, one is fully machined and ready to assemble, the other is untouched.\n1 ""e"" block, untouched and in great shape needs one freeze plug.\nWill include engine stand.\n2 ""I"" heads\nOne is fully machined and ready to install.\nThe other is completely disassembled and is cracked, but can be repaired.\nAll accessories associated with those blocks and heads.\n4.10 LSD Diff medium case ready to install.\n2 transmissions both in good shape.\nFreshly machined OEM flywheel\n1 good driveshaft\nOne e30 steering rack\n\nTons of spare and new parts:\nNew 80A motor and Trans mounts.\nNew 6 puck clutch\nShifter parts\nFull Elring head gasket and upper gasket set with head bolts.\nIreland Engineering M20 windage tray.\nIreland Engineering oil pan baffle\nNew gates blue racing timing belt.\nNew water pump.\nHeater core block off plate for back of head and thermostat housing.\nNew thermostat\nNew Water temp sensors\nProbably some other stuff I'm forgetting.\n\n\nTags\nLexus, Toyota, 2JZ, Honda, Acura, BMW, JDM, Audi, Mercedes, Supra, Boost, drift, track, wheels, autocross, daily driver, cheap, SE30"
florence_/_muscle_shoals,https://bham.craigslist.org/cto/d/1975-bmw-2002-project-car/6488195920.html,"For Sale\n\n1975 BMW 2002.\n\nBought this car from a friend of mine when I was 18 (I'm 39 now). It was my daily driver for years. About a decade ago I parked it in the garage at my business with the intention of working on it. Two kids later and I've spent 0 hours tinkering with it. I sold my business about a year ago so the 2002 moved to the carport at home. I don't like just seeing it sit there withering away. Hoping someone out there will be able to take it and restore it to it's formal glory.\n\nI haven't tried cranking the car in years so not sure how much work will need to be done to engine. It doesn't have any major leaks. All the glass is in good shape. As you can see in pictures the paint has faded and begun to peel in several places and there are a few areas with rust beginning to show. Dash is intact but has several cracks. If someone was wanting a 2002 project car this would be a great start.\n\nAsking $5,000. Not interested in any trades. Located in Florence Alabama.\n\nI'll be happy to answer questions."
florence_/_muscle_shoals,https://bham.craigslist.org/cto/d/635-csi-bmwspd/6487665052.html,"635 CSI. BMW. 1982 For Sale. $2,900.\n\nNicer Rust Free Southern car\n3.5 big block 6 cylinder, 5-speed, posi, A/C\nBeautiful Black Leather interior, great condition\nPerfect glass, straight body ( one very small dent at right rear upper corner, next to trunk lid )\nStock BMW 15"". wheels ( not the stars shown in fotos)\nRegistered as a ""Vintage Vehicle"" in Alamama\nIn the same family over 12 years, regular service, BMW Club member\n183k miles\nBeautiful Highway Cruiser, smooth, gobs of Torque....\n\nGREAT. SHAPE. for a 36 year old car !!!!!!!!!!!\nDrive it ANYWHERE !!!!!!!\n\nPerfect engine, Trans 5 speed and posi traction rear end!!! Uses NO OIL, Leaks NO OIL !!!\nXxxxxxxxxxxxxxxxxxxxxxxx\nO\nCons:\nNeeds ignition ""Key and Cylinder"" .. Starts / Runs / Drives great\nNeeds work on blinkers and tail lights\n\nXxxxxxxxxxxxxxxxxxxxxxxxxxxxxx\n\nEscalating in Value rapidly with the Collectible Car Boom\nSee Comps. in Foto\nCheck out National prices on Auto Trader"
florence_/_muscle_shoals,https://bham.craigslist.org/cto/d/1957-bmw-isetta-300-microcar/6487411758.html,"1957 BMW Isetta 300 microcar. Good restorable car, almost complete except for engine. Comes with a box full of engine parts but not enough to build a complete engine. Parts and knowledge are available right here in the US. This little car will get more attention than any high dollar muscle car or exotic.\nPrice is just $4,500.00 firm!\nSold on bill of sale only. In Alabama, cars built before 1975 do not use titles."
florence_/_muscle_shoals,https://bham.craigslist.org/cto/d/1986-bmw-325e-e30/6478560737.html,"I have a 1986 BMW 325e for sale. The car is currently in a tear down stage to reseal the engine and transmission as well as replace a damaged wiring harness which means the car is not in a drivable state and you will need to bring a trailer.\n\nIf you plan to finish the rebuild you will need a full exhaust, flywheel, clutch, radiator, and all necessary mounting hardware as I do not have those parts in a reusable condition. Everything else needed is there if you so choose to purchase the car and all of the parts I currently have.\n\nI purchased the car from a gentleman in Georgia but I have not changed the title to an Alabama title nor have I registered the car in Alabama. I do have the Georgia title and the bill of sale where I purchased the vehicle so everything can be signed to your name and registered in the state of your choosing with relative ease.\n\nIf you would like to have just the rolling chassis without any of the drivetrain from the transmission forward just let me know and we can work out a better price. The wheels that are currently on the car do not fit quite as they should so you will need to use some 5-10mm spacers for them to fit without rubbing.\n\nThis is a 30+ year old car that is in need of some love so come expecting that. Just a heads up. If you have questions send me a text and I will do my best to provide you with answers."
florence_/_muscle_shoals,https://bham.craigslist.org/cto/d/1987-bmw-325i-convertible/6466995144.html,"I have a 1987 BMW 325i Convertible. This car has been restored with a new canvas top, new paint, new brakes, etc. It comes with an extra parts car that has a clean title as well. I have tons of parts that I have collected over the years and pieced these cars together for a while now. I will only sell it with all the extra parts and the extra car. I'm asking 6500 obo there are more than 2k dollars in parts plus the two cars so it's worth what I'm asking. If you have questions just ask.\n\nI do not need help selling this vehicle.\n\n\nKeywords: BMW, M3, Mercedes, Mustang, Subaru, bmw, infinity, G35, Audi, Porche"
florence_/_muscle_shoals,https://nashville.craigslist.org/cto/d/e30-318i-1984/6485734542.html,I'm selling my 1984 318I it is an amazing car to drive and fun. contact me about any other questions you have the asking price is $5000 OBO
florence_/_muscle_shoals,https://nashville.craigslist.org/cto/d/1988-bmw-325i-convertible-e30/6465793852.html,"selling my 1989 BMW 325i Convertible E30\ncolor : bronzit 165 k miles . 5 speed trans.\nfirst 2 pic. show car before new interior..\n\nthe good : interior 9.9 new burgundy BMW leather upholstery . crackfree dash.\nexterior .7.5 , some small rock chips, a little dent on front left nose, paint getting older\ngood tan soft top\nmechanics : engine , trans. Drivetrain no problem . would drive this car cross country tomorrow with no second thoughts.\nsummary a awesome car , great daily or get new paint and have a show car. great car owned last 12 years by BMW fanatic .\nreason for selling : got another silver e30 conv, don't need two conv.\n\nIf his ad is here; car is still for sale.\na few spammers and fishers so far , so if you are really interested in a nice E30.conv.\n\nplease include your name and a Phone nr. , where i can call you back. i will delete any email without those."
florence_/_muscle_shoals,https://nashville.craigslist.org/cto/d/wanting-cheap-rwd-car/6459387050.html,"Wanting around 1500 rwd manual 2 or 4 door. No covert, SUV, or dually. Mileage doesn't matter, clean or rebuilt title. Interior or body does not matter. No wiring issues and somewhat driveable."
gadsden-anniston,https://bham.craigslist.org/cto/d/1975-bmw-2002-project-car/6488195920.html,"For Sale\n\n1975 BMW 2002.\n\nBought this car from a friend of mine when I was 18 (I'm 39 now). It was my daily driver for years. About a decade ago I parked it in the garage at my business with the intention of working on it. Two kids later and I've spent 0 hours tinkering with it. I sold my business about a year ago so the 2002 moved to the carport at home. I don't like just seeing it sit there withering away. Hoping someone out there will be able to take it and restore it to it's formal glory.\n\nI haven't tried cranking the car in years so not sure how much work will need to be done to engine. It doesn't have any major leaks. All the glass is in good shape. As you can see in pictures the paint has faded and begun to peel in several places and there are a few areas with rust beginning to show. Dash is intact but has several cracks. If someone was wanting a 2002 project car this would be a great start.\n\nAsking $5,000. Not interested in any trades. Located in Florence Alabama.\n\nI'll be happy to answer questions."
gadsden-anniston,https://bham.craigslist.org/cto/d/635-csi-bmwspd/6487665052.html,"635 CSI. BMW. 1982 For Sale. $2,900.\n\nNicer Rust Free Southern car\n3.5 big block 6 cylinder, 5-speed, posi, A/C\nBeautiful Black Leather interior, great condition\nPerfect glass, straight body ( one very small dent at right rear upper corner, next to trunk lid )\nStock BMW 15"". wheels ( not the stars shown in fotos)\nRegistered as a ""Vintage Vehicle"" in Alamama\nIn the same family over 12 years, regular service, BMW Club member\n183k miles\nBeautiful Highway Cruiser, smooth, gobs of Torque....\n\nGREAT. SHAPE. for a 36 year old car !!!!!!!!!!!\nDrive it ANYWHERE !!!!!!!\n\nPerfect engine, Trans 5 speed and posi traction rear end!!! Uses NO OIL, Leaks NO OIL !!!\nXxxxxxxxxxxxxxxxxxxxxxxx\nO\nCons:\nNeeds ignition ""Key and Cylinder"" .. Starts / Runs / Drives great\nNeeds work on blinkers and tail lights\n\nXxxxxxxxxxxxxxxxxxxxxxxxxxxxxx\n\nEscalating in Value rapidly with the Collectible Car Boom\nSee Comps. in Foto\nCheck out National prices on Auto Trader"
gadsden-anniston,https://bham.craigslist.org/cto/d/1957-bmw-isetta-300-microcar/6487411758.html,"1957 BMW Isetta 300 microcar. Good restorable car, almost complete except for engine. Comes with a box full of engine parts but not enough to build a complete engine. Parts and knowledge are available right here in the US. This little car will get more attention than any high dollar muscle car or exotic.\nPrice is just $4,500.00 firm!\nSold on bill of sale only. In Alabama, cars built before 1975 do not use titles."
gadsden-anniston,https://bham.craigslist.org/cto/d/1986-bmw-325e-e30/6478560737.html,"I have a 1986 BMW 325e for sale. The car is currently in a tear down stage to reseal the engine and transmission as well as replace a damaged wiring harness which means the car is not in a drivable state and you will need to bring a trailer.\n\nIf you plan to finish the rebuild you will need a full exhaust, flywheel, clutch, radiator, and all necessary mounting hardware as I do not have those parts in a reusable condition. Everything else needed is there if you so choose to purchase the car and all of the parts I currently have.\n\nI purchased the car from a gentleman in Georgia but I have not changed the title to an Alabama title nor have I registered the car in Alabama. I do have the Georgia title and the bill of sale where I purchased the vehicle so everything can be signed to your name and registered in the state of your choosing with relative ease.\n\nIf you would like to have just the rolling chassis without any of the drivetrain from the transmission forward just let me know and we can work out a better price. The wheels that are currently on the car do not fit quite as they should so you will need to use some 5-10mm spacers for them to fit without rubbing.\n\nThis is a 30+ year old car that is in need of some love so come expecting that. Just a heads up. If you have questions send me a text and I will do my best to provide you with answers."
gadsden-anniston,https://bham.craigslist.org/cto/d/1987-bmw-325i-convertible/6466995144.html,"I have a 1987 BMW 325i Convertible. This car has been restored with a new canvas top, new paint, new brakes, etc. It comes with an extra parts car that has a clean title as well. I have tons of parts that I have collected over the years and pieced these cars together for a while now. I will only sell it with all the extra parts and the extra car. I'm asking 6500 obo there are more than 2k dollars in parts plus the two cars so it's worth what I'm asking. If you have questions just ask.\n\nI do not need help selling this vehicle.\n\n\nKeywords: BMW, M3, Mercedes, Mustang, Subaru, bmw, infinity, G35, Audi, Porche"
gadsden-anniston,https://huntsville.craigslist.org/cto/d/1975-bmw-2002/6480918035.html,"For Sale\n\n1975 BMW 2002.\n\nBought this car from a friend of mine when I was 18 (I'm 39 now). It was my daily driver for years. About a decade ago I parked it in the garage at my business with the intention of working on it. Two kids later and I've spent 0 hours tinkering with it. I sold my business about a year ago so the 2002 moved to the carport at home. I don't like just seeing it sit there withering away. Hoping someone out there will be able to take it and restore it to it's formal glory.\n\nI haven't tried cranking the car in years so not sure how much work will need to be done to engine. It doesn't have any major leaks. All the glass is in good shape. As you can see in pictures the paint has faded and begun to peel in several places and there are a few areas with rust beginning to show. Dash is intact but has several cracks. If someone was wanting a 2002 project car this would be a great start.\n\nAsking $5,000. Not interested in any trades. Located in Florence Alabama.\n\nI'll be happy to answer questions."
gadsden-anniston,https://huntsville.craigslist.org/cto/d/1973-bmw-bavaria-30s/6472905992.html,"Having to get rid of my 1973 Bavaria\nUnlike many of the other older BMW models, the Bavaria is something you may never have the opportunity to see again.\nThere were approximately 8000, in the year and few have left to survive such a long life.\nBeing an earlier iteration of the car, BMW resolved many of the prior issues with the cars design, but it maintains the more pleasant European style bumpers.\n\nWhat makes this car particularly special is its limited color combination.\nExterior is Polaris Silver with Cardinal Red leather interior.\nAfter scouring the internet, there are very few Polaris silver cars, and with the red leather it makes the car one of a kind.\n\nThe car is in decent condition, minimal surface rust throughout the car.\nExterior 7/10\nInterior 6/10\nAll the electronics work, wipers, signals, and both headlight functions\nThe interior is worn, primarily the front seats.\nIt has a four speed manual which shifts well and the clutch holds up fine.\n\nOnly major issue is the head is cracked, which is very common for these cars.\nIt would not take much to rebuild a more modern M30 cylinder head to resolve this and any future concerns.\nI have extra fenders, and another set of front seats in blue leather.\nPretty firm on the price, though I am moderately interested in trades for running and reliable cars.\nText for pictures and any other questions."
gadsden-anniston,https://huntsville.craigslist.org/cto/d/bmw-325i-e30-parts/6439857050.html,"E30 parts for sale. Make an offer.\n\nIncluded:\n\n3 engine blocks\n2 ""I"" blocks, one is fully machined and ready to assemble, the other is untouched.\n1 ""e"" block, untouched and in great shape needs one freeze plug.\nWill include engine stand.\n2 ""I"" heads\nOne is fully machined and ready to install.\nThe other is completely disassembled and is cracked, but can be repaired.\nAll accessories associated with those blocks and heads.\n4.10 LSD Diff medium case ready to install.\n2 transmissions both in good shape.\nFreshly machined OEM flywheel\n1 good driveshaft\nOne e30 steering rack\n\nTons of spare and new parts:\nNew 80A motor and Trans mounts.\nNew 6 puck clutch\nShifter parts\nFull Elring head gasket and upper gasket set with head bolts.\nIreland Engineering M20 windage tray.\nIreland Engineering oil pan baffle\nNew gates blue racing timing belt.\nNew water pump.\nHeater core block off plate for back of head and thermostat housing.\nNew thermostat\nNew Water temp sensors\nProbably some other stuff I'm forgetting.\n\n\nTags\nLexus, Toyota, 2JZ, Honda, Acura, BMW, JDM, Audi, Mercedes, Supra, Boost, drift, track, wheels, autocross, daily driver, cheap, SE30"
gadsden-anniston,https://nwga.craigslist.org/cto/d/1986-bmw-325es/6479525872.html,"I changed the Driveshaft, guibo, and brake master cylinder to get it running. Then changed the shocks and transmission mounts. I broke a bolt in the rear trailing arm, and thought I needed to get the entire trailing arm replaced, but just recently I took it to a professional who was able to get the bolt out (thank god). So now this car comes with a free trailing arm lol.\n\nAll it needs now is someone to give it more love since I don't have the space nor time."
gadsden-anniston,https://atlanta.craigslist.org/nat/cto/d/eobo/6484456260.html,"Up for sale is my 1986 325e e30\nDaily driver from school, work, home. I drive it for over 80 miles a day no problems engine wise. Original M20 engine. 5 speed. cardinal red interior. i have black front door panels also. 2 bucket seats from bomz racing with harness installed. OMP steering wheel does come with OEM steering wheel if you'd like. F1R wheels bought brand new and great tires Kuhmos bought brand new as well. I do have bottle caps (the original wheels for the car). I have lowering springs and shocks that havent been installed and currently the car is on H&R springs. i have extra parts for the car as well. some cons are it has the normal e30 issues which are odometer not being read ( I have two clusters one of them from when the original miles stopped reading as of April 2017 ) the car is 31 years old... you shouldn't expect it to have low miles! And it does not need emissions being of the age. & A/C & heat work. Just make me an offer\n\n\n\nYou can text me regarding any further questions :::: 6seven8-six7zero-55seven8\n\n\n\n\n\n\n\nTags: e30, manual, 325"
gadsden-anniston,https://atlanta.craigslist.org/nat/cto/d/selling-1989-bmw-325i/6490992853.html,Selling my 1989 BMW 325i convertible for $6500.00 I am down for trades and would price is negotiable. Car is in mint condition!
